"Description","Comment","Designator","Footprint","Part Number","Alternative Part","Quantity"
"Battery","MS621","BAT1","MS621","MS621FE FL11E","","1"
"Piezoelectric Sounders","L-KLS3-SMT-09X1.8","BUZ1","SPKR_PKMCS0909E4000-R1","L-KLS3-SMT-09X1.8","PKLCS1212E40A1-R1","1"
"Capacitor","8pF 50V","C1, C2, C4, C5, C36, C37","C_0603","CC0603DRNPO9BN8R0","","6"
"Capacitor","100nF","C3, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C32, C33, C34, C35, C39","C_0603","CC0603JPX7R9BB104","","26"
"Capacitor","470pF 16V","C26","C_0603","CC0603KRX7R9BB471","","1"
"Tantal Capacitor","150uF 16V","C27","TANTAL_TYPE_D","T491D157K016AT","","1"
"Tantal Capacitor","47uF 35V","C28","TANTAL_TYPE_X","T491X476K035AT","","1"
"Capacitor","1uF 16V","C29, C31, C38","C_0603","CC0603KRX7R7BB105","","3"
"Capacitor","10nF 16V","C30","C_0603","CC0603JRX7R7BB103","","1"
"Diode","BAT54","D1","SOT23","BAT54S","","1"
"ESD","ESDCAN24-2BLY","D2","SOT23","ESDCAN24-2BLY","","1"
"ESD","SM712-02HTG","D3","SOT23","SM712-02HTG","","1"
"Diode","BZV55C10","D4","SOD80C","BZV55C10","","1"
"Diode","SM5819PL-TP","D5, D6","SOD-123","SM5819PL-TP","","2"
"Typical INFRARED GaAs LED","Green","D7, D8, D11","LED_1206","KP-3216SGD","","3"
"Typical INFRARED GaAs LED","Red","D9","LED_1206","KP-3216SRD","","1"
"Typical INFRARED GaAs LED","Yellow","D10","LED_1206","KPT-3216SYC","","1"
"Inductor","CD54NP-221KC","L1","CD54NP","CD54NP-221KC","","1"
"Header, 5-Pin","PLS2-5","PMCU, RLINK","PLS-5-3D","PLS-5","","2"
"30V P-Channel  MOSFET","IRF7205","Q1","SO-8_M","IRF7205TRPBF","","1"
"Dual N-ch Mosfet","IPG20N06S2L65AATMA1","Q2, Q3, Q4, Q5, Q6","PowerFlat 5x6","IPG20N06S2L65AATMA1","","5"
"Resistor","3.3k","R1, R8, R12, R15, R18, R21","R_0603","RC0603FR-073K3L","","6"
"Resistor","1k","R2, R9, R13, R16, R19, R22, R26, R28, R29, R32, R34","R_0603","RC0603FR-071KL","","11"
"Resistor","10k","R3, R4, R6, R7, R55","R_0603","RC0603FR-0710KL","","5"
"Resistor","120","R5","R_0603","RC0603FR-07120RL","","1"
"Resistor","680","R10, R14, R17, R20, R23","R_0603","RC0603FR-07680RL","","5"
"Resistor","100k","R11, R56, R58, R59","R_0603","RC0603FR-07100KL","","4"
"Resistor","100","R24, R25, R27, R30, R31, R33, R35, R36, R37, R38, R39, R40, R41, R42, R43, R52, R53, R54, R63, R64, R65","R_0603","RC0603FR-07100RL","","21"
"Resistor","0.33","R44","R_1206","RL1206FR-070R33L","","1"
"Resistor","3.6k","R45","R_0603","RC0603FR-073K6L","","1"
"Resistor","1.2k","R46","R_0603","RC0603FR-071K2L","","1"
"Resistor","0","R47, R48, R49","R_0603","RC0603FR-070RL","","3"
"Resistor","4.7k","R50, R51, R66, R67","R_0603","RC0603FR-074K7L","","4"
"Resistor","1.5k","R57","R_0603","RC0603FR-071K5L","","1"
"Resistor","2.7k","R60","R_0603","RC0603FR-072K7L","","1"
"Resistor","5.1k","R61, R62","R_0603","RC0603JR-075K1L","","2"
"45V 200mW 200@2mA,5V 100mA NPN SOT-23-3 Bipolar (BJT)","BC847B","U1","SOT23","BC847B","","1"
"CAN_transiever","SN65HVD232D","U2","SO-8_M","SN65HVD232DR","XL1050","1"
"No Description Available","ST232CTR","U3","TSSOP16_STM","ST232CTR","SP3232EEY-L/TR","1"
"RS485 Full Duplex Convertor","MAX488CSA","U4","SO-8_M","MAX488CSA","","1"
"RS485 Half Duplex Convertor","SN75176BDR","U5","SO-8","SN75176BDR","","1"
"4-Pin Phototransistor Optocoupler","TLP290","U6, U7, U8, U9, U10","SO4_1.27","TLP290[GB.SE","","5"
"4-Pin Phototransistor Optocoupler","CPC1008N","U11, U13, U14, U16, U17","SO4_2_54","CPC1008NTR","","5"
"Photovoltaic MOSFET Driver","VOM1271","U12, U15, U18, U19, U20","SOP-4","VOM1271T","","5"
"Step-up/down IC","MC33063","U21","SO-8","MC33063AP","","1"
"Ultra low drop and low noise BiCMOS voltage regulators","LD3985M33R","U22","SOT23-5","LD3985M33R","","1"
"STM32 ARM-based 32-bit MCU Performance Line with 128 kB Flash, 20 kB Internal RAM, -40 to +85°C Temperature, 48-Pin LQFP, Tray","STM32F103CBT6","U23","LQFP48_L","STM32F103CBT6","","1"
"USB HUB 2.0","FE1.1S_BSOP28","U24","BSOP28","FE1.1S-BSOP28BCN","","1"
"17V Clamp 5A (8/20Âµs) Ipp Tvs Diode Surface Mount SOT-23-6","USBLC6-2SC6","U25","SOT95P280X145-6N","USBLC6-2SC6","","1"
"256-Kbit I2C-compatible Serial EEPROM","24c256","U26","SO-8_M","AT24C256C","","1"
"High-density performance line Arm®-based 32-bit MCU with 256 to 512KB
Flash, USB, CAN, 11 timers, 3 ADCs, 13 communication interfaces","STM32F103RET6","U27","LQFP64","STM32F103RET6","","1"
"15EDGRHCM-THR-3.5-16P","15EDGRHCM-THR-3.5-16P","X1","DMC 1,5/ 8-G1F-3,5-LR P20THR / 1787072","15EDGRHCM-THR-3.5-16P","","1"
"15EDGRHCM-THR-3.5-24P","15EDGRHCM-THR-3.5-24P","X2","DMC 1,5/12-G1F-3,5-LRP20THRR72","15EDGRHCM-THR-3.5-24P","","1"
"USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS","TYPE-C-31-M-12","X3","HRO_TYPE-C-31-M-12","TYPE-C-31-M-12","","1"
"Crystal Oscillator","NX3215SA-32.768K","XTAL1","XTAL_NX3215SA-32.768K-STD-MUA-8","NX3215SA-32.768K-10PPM-45KOHM-6PF","","1"
"Crystal Oscillator","X32258MOB4SI","XTAL2, XTAL3","NX3225GA","X32258MOB4SI","","2"
"Crystal Oscillator","X322512MSB4SI","XTAL4","NX3225GA","X322512MSB4SI","","1"
